playerID,yearID,teamID,inseason,G,W,L
chancfr01,1906,CHN,1,155,116,36
hanlone01,1906,CIN,1,155,64,87
mcgrajo01,1906,NY1,1,153,96,56
duffyhu01,1906,PHI,1,154,71,82
clarkfr01,1906,PIT,1,154,93,60
mcclojo99,1906,SLN,1,154,52,98
youngcy01,1907,BOS,1,6,3,3
huffge99,1907,BOS,2,8,2,6
unglabo01,1907,BOS,3,29,9,20
mcguide01,1907,BOS,4,112,45,61
jonesfi01,1907,CHA,1,157,87,64
lajoina01,1907,CLE,1,158,85,67
jennihu01,1907,DET,1,153,92,58
griffcl01,1907,NYA,1,152,70,78
mackco01,1907,PHA,1,150,88,57
mcaleji01,1907,SLA,1,155,69,83
cantijo99,1907,WS1,1,154,49,102
donovpa01,1907,BRO,1,153,65,83
tennefr02,1907,BSN,1,152,58,90
chancfr01,1907,CHN,1,155,107,45
hanlone01,1907,CIN,1,156,66,87
mcgrajo01,1907,NY1,1,155,82,71
murrabi99,1907,PHI,1,149,83,64
clarkfr01,1907,PIT,1,157,91,63
mcclojo99,1907,SLN,1,155,52,101
mcguide01,1908,BOS,1,115,53,62
lakefr01,1908,BOS,2,40,22,17
jonesfi01,1908,CHA,1,156,88,64
